[2023-03-25 05:22:51,763]  INFO {AuthenticationHandlerAdapter} - User admin logged in successfully
[2023-03-25 05:23:44,232]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoSeq,Loc = Exit Seq
[2023-03-25 05:23:44,955]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Enter Seq,MSG = Calling RecordDeliverStatusSeq.
[2023-03-25 05:23:45,012]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Debugging,MessageID = urn:uuid:c59b71ce-12dd-4f0b-8b46-7d30610d28f6,mp_name = MustDeliverDemoMP,mp_isDeactivated = false,retry_count = 1,MSG = Calling RecordDeliverStatusSeq.,payload = {"msg":"test"}
[2023-03-25 05:23:45,020]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Exit Seq
[2023-03-25 05:23:45,024]  INFO {ForwardingService} - Message processor [MustDeliverDemoMP] received a response with HTTP_SC:   from backend MustDeliverDemoEP. Message forwarding failed.
[2023-03-25 05:23:45,025] ERROR {ForwardingService} - BlockingMessageSender of message processor [MustDeliverDemoMP] failed to forward message to endpoint MustDeliverDemoEP
[2023-03-25 05:23:45,025]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Enter Seq,MSG = Calling RecordDeliverStatusSeq.
[2023-03-25 05:23:45,047]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Debugging,MessageID = urn:uuid:c59b71ce-12dd-4f0b-8b46-7d30610d28f6,mp_name = MustDeliverDemoMP,mp_isDeactivated = false,retry_count = 2,MSG = Calling RecordDeliverStatusSeq.,payload = {"msg":"test"}
[2023-03-25 05:23:45,049]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = RecordDeliveryStatusSeq,Loc = Enter Seq,MessageID = urn:uuid:b2b75334-0e82-4aad-9de7-690fd1dafed4,mp_name = MustDeliverDemoMP,mp_isDeactivated = false,retry_count = 1,isSuccess = false
[2023-03-25 05:23:45,053]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Exit Seq
[2023-03-25 05:23:45,060]  INFO {ForwardingService} - Message processor [MustDeliverDemoMP] failed to forward message 1 times. Moved failed message to fail-messages-store and continue
[2023-03-25 05:23:45,070]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = RecordDeliveryStatusSeq,Loc = Enter Seq,MessageID = urn:uuid:cdfcfbad-f946-4843-92b5-fb6637115315,mp_name = MustDeliverDemoMP,mp_isDeactivated = false,retry_count = 2,isSuccess = false
[2023-03-25 05:23:45,076]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} To: /process, MessageID: urn:uuid:b2b75334-0e82-4aad-9de7-690fd1dafed4, correlation_id: d2aadd19-600e-4959-a6a3-4f9e9e4c6f73_f975d829-745b-40ff-8b10-19882d2d77ed_ecf30834-7017-41db-9d8b-abdf981b6bfc, Direction: request, DEBUG = This is what we are sending to the database, except for this debug statement., Envelope: <?xml version='1.0' encoding='utf-8'?><soapenv:Envelope xmlns:soapenv="http://schemas.xmlsoap.org/soap/envelope/"><soapenv:Body><p:insertDemoStats xmlns:p="http://ws.wso2.org/dataservice/demostatsds"><p:correlation_id>urn:uuid:b2b75334-0e82-4aad-9de7-690fd1dafed4</p:correlation_id><p:retry_count>1</p:retry_count><p:mp_name>MustDeliverDemoMP</p:mp_name><p:mp_isdisabled>false</p:mp_isdisabled><p:is_success>false</p:is_success></p:insertDemoStats></soapenv:Body></soapenv:Envelope>
[2023-03-25 05:23:45,082]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} To: /process, MessageID: urn:uuid:cdfcfbad-f946-4843-92b5-fb6637115315, correlation_id: d2aadd19-600e-4959-a6a3-4f9e9e4c6f73_f975d829-745b-40ff-8b10-19882d2d77ed_49be4731-4347-48dc-9cd4-31cd15dba803, Direction: request, DEBUG = This is what we are sending to the database, except for this debug statement., Envelope: <?xml version='1.0' encoding='utf-8'?><soapenv:Envelope xmlns:soapenv="http://schemas.xmlsoap.org/soap/envelope/"><soapenv:Body><p:insertDemoStats xmlns:p="http://ws.wso2.org/dataservice/demostatsds"><p:correlation_id>urn:uuid:cdfcfbad-f946-4843-92b5-fb6637115315</p:correlation_id><p:retry_count>2</p:retry_count><p:mp_name>MustDeliverDemoMP</p:mp_name><p:mp_isdisabled>false</p:mp_isdisabled><p:is_success>false</p:is_success></p:insertDemoStats></soapenv:Body></soapenv:Envelope>
[2023-03-25 05:23:45,185]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} To: /process,MessageID: urn:uuid:b2b75334-0e82-4aad-9de7-690fd1dafed4,correlation_id: d2aadd19-600e-4959-a6a3-4f9e9e4c6f73_f975d829-745b-40ff-8b10-19882d2d77ed_ecf30834-7017-41db-9d8b-abdf981b6bfc,Direction: request,Seq_Nam = RecordDeliveryStatusSeq,DEBUG = Response back from DSS,Loc = Exit Seq,Envelope: <?xml version='1.0' encoding='utf-8'?><soapenv:Envelope xmlns:soapenv="http://schemas.xmlsoap.org/soap/envelope/"><soapenv:Body><axis2ns22:REQUEST_STATUS xmlns:axis2ns22="http://ws.wso2.org/dataservice">SUCCESSFUL</axis2ns22:REQUEST_STATUS></soapenv:Body></soapenv:Envelope>
[2023-03-25 05:23:45,185]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} To: /process,MessageID: urn:uuid:cdfcfbad-f946-4843-92b5-fb6637115315,correlation_id: d2aadd19-600e-4959-a6a3-4f9e9e4c6f73_f975d829-745b-40ff-8b10-19882d2d77ed_49be4731-4347-48dc-9cd4-31cd15dba803,Direction: request,Seq_Nam = RecordDeliveryStatusSeq,DEBUG = Response back from DSS,Loc = Exit Seq,Envelope: <?xml version='1.0' encoding='utf-8'?><soapenv:Envelope xmlns:soapenv="http://schemas.xmlsoap.org/soap/envelope/"><soapenv:Body><axis2ns23:REQUEST_STATUS xmlns:axis2ns23="http://ws.wso2.org/dataservice">SUCCESSFUL</axis2ns23:REQUEST_STATUS></soapenv:Body></soapenv:Envelope>
[2023-03-25 05:23:47,951]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Enter Seq,MSG = Calling RecordDeliverStatusSeq.
[2023-03-25 05:23:47,987]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Debugging,MessageID = urn:uuid:58b551e1-2601-4dbd-9c3c-ced1cb5395ad,mp_name = MustDeliverDemoMP,mp_isDeactivated = false,retry_count = 2,MSG = Calling RecordDeliverStatusSeq.,payload = null
[2023-03-25 05:23:47,991]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Exit Seq
[2023-03-25 05:23:47,992]  INFO {ForwardingService} - Message processor [MustDeliverDemoMP] received a response with HTTP_SC:   from backend MustDeliverDemoEP. Message forwarding failed.
[2023-03-25 05:23:47,992] ERROR {ForwardingService} - BlockingMessageSender of message processor [MustDeliverDemoMP] failed to forward message to endpoint MustDeliverDemoEP
[2023-03-25 05:23:47,992]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Enter Seq,MSG = Calling RecordDeliverStatusSeq.
[2023-03-25 05:23:48,010]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = RecordDeliveryStatusSeq,Loc = Enter Seq,MessageID = urn:uuid:a856e0ac-7038-40ad-b3d9-d0244b2c3582,mp_name = MustDeliverDemoMP,mp_isDeactivated = false,retry_count = 2,isSuccess = false
[2023-03-25 05:23:48,015]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Debugging,MessageID = urn:uuid:58b551e1-2601-4dbd-9c3c-ced1cb5395ad,mp_name = MustDeliverDemoMP,mp_isDeactivated = false,retry_count = 3,MSG = Calling RecordDeliverStatusSeq.,payload = null
[2023-03-25 05:23:48,022]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} To: /process, MessageID: urn:uuid:a856e0ac-7038-40ad-b3d9-d0244b2c3582, correlation_id: d2aadd19-600e-4959-a6a3-4f9e9e4c6f73_f975d829-745b-40ff-8b10-19882d2d77ed_7261bd4e-caa7-47ad-aae0-6d988574af2e_4165b279-ac62-4761-a0d8-216cc2978e4e, Direction: request, DEBUG = This is what we are sending to the database, except for this debug statement., Envelope: <?xml version='1.0' encoding='utf-8'?><soapenv:Envelope xmlns:soapenv="http://schemas.xmlsoap.org/soap/envelope/"><soapenv:Body><p:insertDemoStats xmlns:p="http://ws.wso2.org/dataservice/demostatsds"><p:correlation_id>urn:uuid:a856e0ac-7038-40ad-b3d9-d0244b2c3582</p:correlation_id><p:retry_count>2</p:retry_count><p:mp_name>MustDeliverDemoMP</p:mp_name><p:mp_isdisabled>false</p:mp_isdisabled><p:is_success>false</p:is_success></p:insertDemoStats></soapenv:Body></soapenv:Envelope>
[2023-03-25 05:23:48,024]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Exit Seq
[2023-03-25 05:23:48,026]  INFO {ForwardingService} - Message processor [MustDeliverDemoMP] failed to forward message 1 times. Moved failed message to fail-messages-store and continue
[2023-03-25 05:23:48,038]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} To: /process,MessageID: urn:uuid:a856e0ac-7038-40ad-b3d9-d0244b2c3582,correlation_id: d2aadd19-600e-4959-a6a3-4f9e9e4c6f73_f975d829-745b-40ff-8b10-19882d2d77ed_7261bd4e-caa7-47ad-aae0-6d988574af2e_4165b279-ac62-4761-a0d8-216cc2978e4e,Direction: request,Seq_Nam = RecordDeliveryStatusSeq,DEBUG = Response back from DSS,Loc = Exit Seq,Envelope: <?xml version='1.0' encoding='utf-8'?><soapenv:Envelope xmlns:soapenv="http://schemas.xmlsoap.org/soap/envelope/"><soapenv:Body><axis2ns24:REQUEST_STATUS xmlns:axis2ns24="http://ws.wso2.org/dataservice">SUCCESSFUL</axis2ns24:REQUEST_STATUS></soapenv:Body></soapenv:Envelope>
[2023-03-25 05:23:48,044]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = RecordDeliveryStatusSeq,Loc = Enter Seq,MessageID = urn:uuid:abeb3bbe-0c58-47a7-896c-dd8d44f9868d,mp_name = MustDeliverDemoMP,mp_isDeactivated = false,retry_count = 3,isSuccess = false
[2023-03-25 05:23:48,045]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} To: /process, MessageID: urn:uuid:abeb3bbe-0c58-47a7-896c-dd8d44f9868d, correlation_id: d2aadd19-600e-4959-a6a3-4f9e9e4c6f73_f975d829-745b-40ff-8b10-19882d2d77ed_7261bd4e-caa7-47ad-aae0-6d988574af2e_a7f42520-25ac-4aec-9f01-0403d9e7da2c, Direction: request, DEBUG = This is what we are sending to the database, except for this debug statement., Envelope: <?xml version='1.0' encoding='utf-8'?><soapenv:Envelope xmlns:soapenv="http://schemas.xmlsoap.org/soap/envelope/"><soapenv:Body><p:insertDemoStats xmlns:p="http://ws.wso2.org/dataservice/demostatsds"><p:correlation_id>urn:uuid:abeb3bbe-0c58-47a7-896c-dd8d44f9868d</p:correlation_id><p:retry_count>3</p:retry_count><p:mp_name>MustDeliverDemoMP</p:mp_name><p:mp_isdisabled>false</p:mp_isdisabled><p:is_success>false</p:is_success></p:insertDemoStats></soapenv:Body></soapenv:Envelope>
[2023-03-25 05:23:48,052]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} To: /process,MessageID: urn:uuid:abeb3bbe-0c58-47a7-896c-dd8d44f9868d,correlation_id: d2aadd19-600e-4959-a6a3-4f9e9e4c6f73_f975d829-745b-40ff-8b10-19882d2d77ed_7261bd4e-caa7-47ad-aae0-6d988574af2e_a7f42520-25ac-4aec-9f01-0403d9e7da2c,Direction: request,Seq_Nam = RecordDeliveryStatusSeq,DEBUG = Response back from DSS,Loc = Exit Seq,Envelope: <?xml version='1.0' encoding='utf-8'?><soapenv:Envelope xmlns:soapenv="http://schemas.xmlsoap.org/soap/envelope/"><soapenv:Body><axis2ns25:REQUEST_STATUS xmlns:axis2ns25="http://ws.wso2.org/dataservice">SUCCESSFUL</axis2ns25:REQUEST_STATUS></soapenv:Body></soapenv:Envelope>
[2023-03-25 05:23:51,937]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Enter Seq,MSG = Calling RecordDeliverStatusSeq.
[2023-03-25 05:23:51,951]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Debugging,MessageID = urn:uuid:971ab379-51e3-4cc9-990c-7e2c7640b553,mp_name = MustDeliverDemoMP,mp_isDeactivated = false,retry_count = 3,MSG = Calling RecordDeliverStatusSeq.,payload = null
[2023-03-25 05:23:51,954]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Exit Seq
[2023-03-25 05:23:51,954]  INFO {ForwardingService} - Message processor [MustDeliverDemoMP] received a response with HTTP_SC:   from backend MustDeliverDemoEP. Message forwarding failed.
[2023-03-25 05:23:51,954] ERROR {ForwardingService} - BlockingMessageSender of message processor [MustDeliverDemoMP] failed to forward message to endpoint MustDeliverDemoEP
[2023-03-25 05:23:51,954]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Enter Seq,MSG = Calling RecordDeliverStatusSeq.
[2023-03-25 05:23:51,975]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = RecordDeliveryStatusSeq,Loc = Enter Seq,MessageID = urn:uuid:6a442be1-014b-4dc3-ad47-b7e919bee06d,mp_name = MustDeliverDemoMP,mp_isDeactivated = false,retry_count = 3,isSuccess = false
[2023-03-25 05:23:51,976]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Debugging,MessageID = urn:uuid:971ab379-51e3-4cc9-990c-7e2c7640b553,mp_name = MustDeliverDemoMP,mp_isDeactivated = false,retry_count = 4,MSG = Calling RecordDeliverStatusSeq.,payload = null
[2023-03-25 05:23:51,994]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} To: /process, MessageID: urn:uuid:6a442be1-014b-4dc3-ad47-b7e919bee06d, correlation_id: d2aadd19-600e-4959-a6a3-4f9e9e4c6f73_f975d829-745b-40ff-8b10-19882d2d77ed_fe665687-d2e6-4453-b485-fcdb4ac4afab_4aea27fc-3688-4c7f-b23b-78b7b88e9079, Direction: request, DEBUG = This is what we are sending to the database, except for this debug statement., Envelope: <?xml version='1.0' encoding='utf-8'?><soapenv:Envelope xmlns:soapenv="http://schemas.xmlsoap.org/soap/envelope/"><soapenv:Body><p:insertDemoStats xmlns:p="http://ws.wso2.org/dataservice/demostatsds"><p:correlation_id>urn:uuid:6a442be1-014b-4dc3-ad47-b7e919bee06d</p:correlation_id><p:retry_count>3</p:retry_count><p:mp_name>MustDeliverDemoMP</p:mp_name><p:mp_isdisabled>false</p:mp_isdisabled><p:is_success>false</p:is_success></p:insertDemoStats></soapenv:Body></soapenv:Envelope>
[2023-03-25 05:23:51,996]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Exit Seq
[2023-03-25 05:23:52,013]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} To: /process,MessageID: urn:uuid:6a442be1-014b-4dc3-ad47-b7e919bee06d,correlation_id: d2aadd19-600e-4959-a6a3-4f9e9e4c6f73_f975d829-745b-40ff-8b10-19882d2d77ed_fe665687-d2e6-4453-b485-fcdb4ac4afab_4aea27fc-3688-4c7f-b23b-78b7b88e9079,Direction: request,Seq_Nam = RecordDeliveryStatusSeq,DEBUG = Response back from DSS,Loc = Exit Seq,Envelope: <?xml version='1.0' encoding='utf-8'?><soapenv:Envelope xmlns:soapenv="http://schemas.xmlsoap.org/soap/envelope/"><soapenv:Body><axis2ns26:REQUEST_STATUS xmlns:axis2ns26="http://ws.wso2.org/dataservice">SUCCESSFUL</axis2ns26:REQUEST_STATUS></soapenv:Body></soapenv:Envelope>
[2023-03-25 05:23:52,022]  INFO {ForwardingService} - Message processor [MustDeliverDemoMP] failed to forward message 1 times. Moved failed message to fail-messages-store and continue
[2023-03-25 05:23:52,024]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = RecordDeliveryStatusSeq,Loc = Enter Seq,MessageID = urn:uuid:5f9b8b33-92de-4e01-ba93-05f54480be2a,mp_name = MustDeliverDemoMP,mp_isDeactivated = false,retry_count = 4,isSuccess = false
[2023-03-25 05:23:52,027]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} To: /process, MessageID: urn:uuid:5f9b8b33-92de-4e01-ba93-05f54480be2a, correlation_id: d2aadd19-600e-4959-a6a3-4f9e9e4c6f73_f975d829-745b-40ff-8b10-19882d2d77ed_fe665687-d2e6-4453-b485-fcdb4ac4afab_d33061e6-854c-4bb6-86ba-024a2f0bc336, Direction: request, DEBUG = This is what we are sending to the database, except for this debug statement., Envelope: <?xml version='1.0' encoding='utf-8'?><soapenv:Envelope xmlns:soapenv="http://schemas.xmlsoap.org/soap/envelope/"><soapenv:Body><p:insertDemoStats xmlns:p="http://ws.wso2.org/dataservice/demostatsds"><p:correlation_id>urn:uuid:5f9b8b33-92de-4e01-ba93-05f54480be2a</p:correlation_id><p:retry_count>4</p:retry_count><p:mp_name>MustDeliverDemoMP</p:mp_name><p:mp_isdisabled>false</p:mp_isdisabled><p:is_success>false</p:is_success></p:insertDemoStats></soapenv:Body></soapenv:Envelope>
[2023-03-25 05:23:52,032]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} To: /process,MessageID: urn:uuid:5f9b8b33-92de-4e01-ba93-05f54480be2a,correlation_id: d2aadd19-600e-4959-a6a3-4f9e9e4c6f73_f975d829-745b-40ff-8b10-19882d2d77ed_fe665687-d2e6-4453-b485-fcdb4ac4afab_d33061e6-854c-4bb6-86ba-024a2f0bc336,Direction: request,Seq_Nam = RecordDeliveryStatusSeq,DEBUG = Response back from DSS,Loc = Exit Seq,Envelope: <?xml version='1.0' encoding='utf-8'?><soapenv:Envelope xmlns:soapenv="http://schemas.xmlsoap.org/soap/envelope/"><soapenv:Body><axis2ns27:REQUEST_STATUS xmlns:axis2ns27="http://ws.wso2.org/dataservice">SUCCESSFUL</axis2ns27:REQUEST_STATUS></soapenv:Body></soapenv:Envelope>
[2023-03-25 05:23:55,944]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Enter Seq,MSG = Calling RecordDeliverStatusSeq.
[2023-03-25 05:23:55,956]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Debugging,MessageID = urn:uuid:c59b71ce-12dd-4f0b-8b46-7d30610d28f6,mp_name = MustDeliverDemoMP,mp_isDeactivated = false,retry_count = 3,MSG = Calling RecordDeliverStatusSeq.,payload = null
[2023-03-25 05:23:55,961]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Exit Seq
[2023-03-25 05:23:55,962]  INFO {ForwardingService} - Message processor [MustDeliverDemoMP] received a response with HTTP_SC:   from backend MustDeliverDemoEP. Message forwarding failed.
[2023-03-25 05:23:55,965] ERROR {ForwardingService} - BlockingMessageSender of message processor [MustDeliverDemoMP] failed to forward message to endpoint MustDeliverDemoEP
[2023-03-25 05:23:55,966]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Enter Seq,MSG = Calling RecordDeliverStatusSeq.
[2023-03-25 05:23:55,984]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Debugging,MessageID = urn:uuid:c59b71ce-12dd-4f0b-8b46-7d30610d28f6,mp_name = MustDeliverDemoMP,mp_isDeactivated = false,retry_count = 4,MSG = Calling RecordDeliverStatusSeq.,payload = null
[2023-03-25 05:23:55,992]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = MustDeliverDemoFaultSeq,Loc = Exit Seq
[2023-03-25 05:23:55,995]  INFO {ForwardingService} - Message processor [MustDeliverDemoMP] failed to forward message 1 times. Moved failed message to fail-messages-store and continue
[2023-03-25 05:23:56,007]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = RecordDeliveryStatusSeq,Loc = Enter Seq,MessageID = urn:uuid:c13e75d5-6450-43ee-ab40-8c4ffc73a37f,mp_name = MustDeliverDemoMP,mp_isDeactivated = false,retry_count = 4,isSuccess = false
[2023-03-25 05:23:56,007]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} Seq_Nam = RecordDeliveryStatusSeq,Loc = Enter Seq,MessageID = urn:uuid:1e236860-9823-4bbb-8ae4-e0986e9a15e9,mp_name = MustDeliverDemoMP,mp_isDeactivated = false,retry_count = 3,isSuccess = false
[2023-03-25 05:23:56,009]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} To: /process, MessageID: urn:uuid:1e236860-9823-4bbb-8ae4-e0986e9a15e9, correlation_id: d2aadd19-600e-4959-a6a3-4f9e9e4c6f73_f975d829-745b-40ff-8b10-19882d2d77ed_27cfb896-40bf-4988-90be-3ffead7e5fae, Direction: request, DEBUG = This is what we are sending to the database, except for this debug statement., Envelope: <?xml version='1.0' encoding='utf-8'?><soapenv:Envelope xmlns:soapenv="http://schemas.xmlsoap.org/soap/envelope/"><soapenv:Body><p:insertDemoStats xmlns:p="http://ws.wso2.org/dataservice/demostatsds"><p:correlation_id>urn:uuid:1e236860-9823-4bbb-8ae4-e0986e9a15e9</p:correlation_id><p:retry_count>3</p:retry_count><p:mp_name>MustDeliverDemoMP</p:mp_name><p:mp_isdisabled>false</p:mp_isdisabled><p:is_success>false</p:is_success></p:insertDemoStats></soapenv:Body></soapenv:Envelope>
[2023-03-25 05:23:56,009]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} To: /process, MessageID: urn:uuid:c13e75d5-6450-43ee-ab40-8c4ffc73a37f, correlation_id: d2aadd19-600e-4959-a6a3-4f9e9e4c6f73_f975d829-745b-40ff-8b10-19882d2d77ed_2af51812-23aa-411b-a4ec-4e3bcf4e726a, Direction: request, DEBUG = This is what we are sending to the database, except for this debug statement., Envelope: <?xml version='1.0' encoding='utf-8'?><soapenv:Envelope xmlns:soapenv="http://schemas.xmlsoap.org/soap/envelope/"><soapenv:Body><p:insertDemoStats xmlns:p="http://ws.wso2.org/dataservice/demostatsds"><p:correlation_id>urn:uuid:c13e75d5-6450-43ee-ab40-8c4ffc73a37f</p:correlation_id><p:retry_count>4</p:retry_count><p:mp_name>MustDeliverDemoMP</p:mp_name><p:mp_isdisabled>false</p:mp_isdisabled><p:is_success>false</p:is_success></p:insertDemoStats></soapenv:Body></soapenv:Envelope>
[2023-03-25 05:23:56,022]  INFO {LogMediator} - {api:MustDeliverDemoAPI:v1.0.0} To: /process,MessageID: urn:uuid:c13e75d5-6450-43ee-ab40-8c4ffc73a37f,correlation_id: d2aadd19-600e-4959-a6a3-4f9e9e4c6f73_f975d829-745b-40ff-8b10-19882d2d77ed_2af51812-23aa-411b-a4ec-4e3bcf4e726a,Direction: request,Seq_Nam = RecordDeliveryStatusSeq,DEBUG = Response back from DSS,Loc = Exit Seq,Envelope: <?xml version='1.0' encoding='utf-8'?><soapenv:Envelope xmlns:soapenv="http://schemas.xmlsoap.org/soap/envelope/"><soapenv:Body><axis2ns29:REQUEST_STATUS xmlns:axis2ns29="http://ws.wso2.org/dataservice">SUCCESSFUL</axis2ns29:REQUEST_STATUS></soapenv:Body></soapenv:Envelope>
